image,baseline,steered_short,steered_long,steered_detailed,len_baseline,len_short,len_long,len_detailed
000000555705.jpg,a cat sitting on a ledge with its paws on a stuffed ball.,a couple of very big pretty cats laying together,a cat is chewing on a pair of shoes.,a couple of cats sitting on top of a window sill.,13,9,9,11
000000443303.jpg,a cat laying on top of a black luggage bag.,a man sitting at a table with a cup of coffee in front of him.,a red cat is sitting on top of an open luggage bag.,a large black suitcase sitting on top of a table.,10,15,12,10
000000500663.jpg,a horse grazing in a lush green field.,a fresh green pasture of some sort by some animals,a horse in a pasture with other animals,an aerial view of two sheep grazing in a field,8,10,8,10
000000418281.jpg,a cow standing on top of a lush green field.,a white white white animals a white black animal some trees,a white horse on a lush green field.,two horned white cows sitting on a lush green field.,10,11,8,10
000000025560.jpg,a cat sitting on a entertainment stand while watching television.,a cat sitting on a desk and a monitor with a tv above it.,a cat sits on a tv box watching television tv,a cat standing on a television wall and watching television.,10,14,10,10
000000403817.jpg,a cat sitting in front of a television with a monitor in it.,a cat standing in front of a tv with two monitors.,a cat looking at a television screen and a laptop computer.,a cat drinking out of a cup in front of a tv.,13,11,11,12
000000085329.jpg,a person is standing in front of a video camera.,a girl with long red hair is wearing a dress shirt.,a young woman holding her something in her hand.,a woman with red hair standing next to another woman.,10,11,9,10
000000329323.jpg,several people looking at items while standing by a man talking on a cell phone.,a man with a beret jacket is standing in front of a row of photographers.,a man holding a bottle at a podium.,a group of men are standing in a large group,15,15,8,10
000000239274.jpg,a boat with a beached motor sitting on a cliff.,"a boat travels past the shoreline in an open body of water. "" a city","a red, white, and black boat sitting on top of a rock.",a boat on a lake on a sunny day.,10,14,12,9
000000286994.jpg,an elephant that is drinking some water by a tree.,an elephant walking in a dirt field near water.,a lone elephant is drinking at a hole by the water.,a giant elephant walks across a field by a blue lake.,10,9,11,11
000000511321.jpg,there is a boat in the middle of the ocean.,a long boat floating on a body of water.,a boat in the middle of the water.,a boat with many wheels on some water.,10,9,8,8
000000314294.jpg,two elephants in an old bare field next to some trees.,a small elephant walks in front of the large elephant.,an elephant standing near a rock behind a rock wall.,an elephant holding a piece of white something.,11,10,10,8
000000233771.jpg,a bunch of women with umbrellas standing together.,"a group of people holding umbrellas in a city street. """,a group of people holding umbrellas in front of a building.,people are gathered under umbrellas while walking on a city street.,8,10,11,11
000000475779.jpg,an elephant walking in the middle of a brushy brush.,a large elephant is walking around in the bushy field.,"an elephant stands on the side of a tree, it has it ' s trunk by it.",an elephant walking through a brushy forest.,10,10,17,7
000000301867.jpg,a group of friends are standing together while holding umbrellas.,"three women standing on a city street, one under an umbrella.",four girls are holding umbrellas while one another is taking a picture.,three women stand near a brick wall holding umbrellas.,10,11,12,9
000000312421.jpg,a stainless steel refrigerator sitting in front of a refrigerator.,two black sinks in a kitchen with a black refrigerator door.,two tvs and cds are in between on a table.,a black bar fridge in front of a wall.,10,11,10,9
000000185250.jpg,a man holding a frisbee in a park.,a man in a red shirt is in front of a tall yellow frisbee.,a man in red shirt and blue pants and a dog with frisbee head standing by fence.,a young man is holding a dog outside.,8,14,17,8
000000356427.jpg,a couple standing on a rail platform near a train.,a young man standing next to a set of tracks near a train station platform.,two men posing next to a train on a platform.,a man standing next to a pile of luggage near a train.,10,15,10,12
000000572517.jpg,a white polar bear standing on top of a bridge.,a mother of a polar bear standing over a fountain in a zoo enclosure.,a polar bear is hanging over a stone fence with a border of rock,a small baby sitting on top of a platform next to an adult elephant.,10,14,14,14
000000270244.jpg,a zebra looking at something something on the field.,a lone zebra standing in the middle of the field.,a zebra standing alone in a field of green,a zebra standing alone in a lush green field.,9,10,9,9
000000516316.jpg,two zebras grazing in the field by the beach.,a lone zebra standing in a grass field by the beach.,several zebras eat grass near the beach.,a pair of zebras eating grass in a field.,9,11,7,9
000000125211.jpg,a close up of a zebra is standing on the ground,two zebras stand next to each other in a grassy field.,a close up of a zebra near a body of water.,a zebra standing near a body of water.,11,11,11,8
000000562121.jpg,two zebras sitting on a grass hill.,a zebra standing alone in a dry field,a zebra is on the ground in the wild.,a lone zebra crosses a dirt road with a cow leaning up.,7,8,9,12
000000360661.jpg,a man in red and white hat riding a brown horse on the beach.,four people riding horses on a beach in the waves.,several jockeys wearing hats are riding horses on the beach.,a group of people riding horses down a beach.,14,10,10,9
000000016228.jpg,a horse drawn carriage traveling down a street.,a park mounted train traveling down a city street.,a man with a horse pulling a cart with a chair under it.,a man in white pants and some kites a car and people,8,9,13,12
000000382088.jpg,a brown horse is inside a wire fence.,a large horse standing in a small field.,a horse and a dog tied together at a fenced wired in area.,a brown horse with a black top and face and tail.,8,8,13,11
000000266409.jpg,a man riding skis through a snow covered field.,a person skiing in the snow standing in the snow.,a person wearing skis and standing in the snow.,a person posing in the snow while posing for a photo.,9,10,9,11
000000430961.jpg,a pitcher is standing while pitching the ball.,a pitcher pitching during a baseball game.,a man is throwing a ball on the field.,a man in a baseball uniform winding up to throw a pitch.,8,7,9,12
000000080671.jpg,a person riding skis on a snowboard in the snow.,a child on skis leans on a snowboard in the snow.,a young boy with skis stands in the snow.,a woman snowboarding on top of a snow covered hill.,10,11,9,10
000000577539.jpg,a hand holds a plate of desserts,blue plate with unusual baked goods inside of it.,a plate of chocolate cake topped with frosting and sprinkles.,a person holding a birthday cake with chocolate on it.,7,9,10,10
000000104612.jpg,a plate of broccoli and meat and vegetables is arranged in individual crusts.,a large platter of broccoli and meat next to potatoes and onions.,"a plate of salad with meat, broccoli and noodles.",a plate of toasted bread and broccoli on a black plate.,13,12,9,11
000000476258.jpg,a young man riding a skateboard on top of a concrete field.,a man riding a rail on a snowboard.,a man is riding on his board with shoes hanging over their feet.,a man is wearing skis riding a skateboard.,12,8,13,8
000000448365.jpg,a young man riding a skateboard on top of a ramp.,a boy skateboarding with green dirt ground next to trees.,a man on a skateboard does a trick on a ramp.,a skateboarder in mid air with a blue sky as the background.,11,10,11,12
000000035197.jpg,a man riding a small skateboard on a railing.,an old photo of a person playing skiboarding on a ramp.,a man who is sitting in front of a red jet.,a motor bike leaning at a pole at a motorcycle park.,9,11,11,11
000000349860.jpg,a man is jumping in the air on a ramp.,a man jumping high while holding a skateboard.,a boy is jumping a ramp while another guy does a trick.,a man is having a great time doing tricks skateboarding.,10,8,12,10
000000180135.jpg,a woman holding a piece of colorful board and a young boy near by.,a close up of a person with a back pack on,a man with no shirt holding up a skateboard.,a man is holding a guitar wearing a tie and holding a skateboard.,14,11,9,13
000000486438.jpg,a table of assorted donuts with chocolate icing and cherrys.,many windows held in both of these displays,a display table of several types of donuts.,many chocolate donuts on a white surface.,10,8,8,7
000000400573.jpg,a man holding a chocolate doughnut with a trick biter.,a young man eating a piece of brown and red cake.,a man eating a sandwich with his coat and sunglasses.,a young man in glasses holding a sandwich.,10,11,10,8
000000109798.jpg,a row of donuts on a wood table.,a desert bread and fried tomatoes with cheese on a plate.,a tray full of assorted donuts on a table.,two donuts are sitting on a table together.,8,11,9,8
000000370677.jpg,three men stand behind a counter at a store.,a team posing for a picture with several donuts in the background.,two guys are posing in front of donuts.,three people holding bags while standing in front of donuts.,9,12,8,10
000000238866.jpg,several white donuts that are in a display.,many donuts on a black and white grill some black plates a black and white stove a window,a rack that has a wide variety of donuts.,a bunch of brown donuts in a giant case.,8,18,9,9
000000369370.jpg,a sandwich with everything that i eat served next to a slice of lemon.,a dinner serving from a pan of fruit and vegtables.,"two sandwiches are cut into bite pieces, one of them","a cut in half sandwich with cheese, fruit and a knife.",14,10,10,11
000000502737.jpg,a hand holding a large piece of chocolate cake.,a large bag of donuts in the palm of a person.,someone holding a piece of chocolate cake in his hand.,a person holding a cake with white frosting and a knife.,9,11,10,11
